iter	Passed	Remaining
0	1	144
1	2	135
2	3	112
3	4	113
4	6	114
5	7	115
6	8	116
7	10	115
8	11	114
9	13	118
10	14	119
11	15	116
12	16	112
13	18	112
14	19	111
15	21	111
16	22	110
17	24	109
18	25	108
19	26	107
20	28	107
21	29	106
22	31	104
23	32	102
24	32	98
25	34	97
26	35	96
27	36	94
28	38	93
29	39	92
30	41	91
31	42	90
32	44	89
33	45	88
34	46	86
35	48	85
36	49	84
37	51	83
38	52	81
39	53	80
40	54	79
41	56	78
42	57	76
43	59	75
44	60	74
45	61	72
46	62	70
47	64	69
48	66	68
49	67	67
50	68	66
51	70	65
52	71	63
53	73	62
54	74	61
55	75	59
56	76	57
57	78	56
58	79	55
59	80	53
60	81	52
61	83	50
62	84	49
63	85	48
64	87	46
65	88	45
66	89	44
67	91	42
68	92	41
69	93	40
70	95	38
71	96	37
72	97	36
73	99	34
74	100	33
75	101	32
76	103	30
77	104	29
78	105	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	113	20
85	114	18
86	115	17
87	117	15
88	118	14
89	119	13
90	121	11
91	122	10
92	123	9
93	125	7
94	126	6
95	128	5
96	129	4
97	131	2
98	132	1
99	133	0
