iter	Passed	Remaining
0	2	212
1	3	186
2	4	152
3	6	154
4	7	150
5	9	149
6	11	147
7	12	144
8	14	142
9	15	140
10	17	137
11	18	133
12	19	127
13	20	127
14	22	127
15	24	126
16	25	125
17	27	124
18	29	123
19	30	122
20	32	120
21	34	120
22	35	119
23	37	118
24	37	113
25	39	112
26	41	110
27	42	109
28	44	107
29	45	106
30	47	105
31	48	104
32	50	102
33	52	101
34	53	99
35	54	97
36	56	96
37	58	94
38	59	93
39	60	91
40	62	90
41	64	88
42	65	87
43	67	85
44	68	84
45	70	82
46	71	80
47	73	79
48	74	77
49	76	76
50	77	74
51	79	73
52	80	71
53	82	70
54	84	68
55	84	66
56	86	65
57	88	63
58	89	62
59	90	60
60	92	59
61	93	57
62	95	56
63	97	54
64	98	53
65	100	51
66	101	50
67	103	48
68	104	47
69	106	45
70	107	44
71	109	42
72	110	40
73	112	39
74	113	37
75	115	36
76	116	34
77	118	33
78	119	31
79	120	30
80	122	28
81	123	27
82	124	25
83	126	24
84	127	22
85	128	20
86	129	19
87	131	17
88	132	16
89	133	14
90	135	13
91	136	11
92	138	10
93	139	8
94	140	7
95	142	5
96	144	4
97	145	2
98	147	1
99	149	0
