iter	Logloss
0	0.6641625696
1	0.6397141667
2	0.615973161
3	0.5936275293
4	0.5739697629
5	0.5577945497
6	0.5417388898
7	0.5288459353
8	0.5169351103
9	0.5063214875
10	0.4955307879
11	0.4888921687
12	0.4798702607
13	0.4731394077
14	0.4671178494
15	0.4602706736
16	0.4548506045
17	0.4491764518
18	0.444755456
19	0.4405251542
20	0.4364119626
21	0.4328315555
22	0.430625439
23	0.427730499
24	0.4243164792
25	0.4212865258
26	0.4186636072
27	0.4167618917
28	0.4145026914
29	0.4118801555
30	0.4099974507
31	0.4078476711
32	0.4063197016
33	0.4047133533
34	0.4030782727
35	0.402154761
36	0.4010351524
37	0.3995376619
38	0.397934759
39	0.3972113899
40	0.3959815826
41	0.3949709954
42	0.393780724
43	0.3929585168
44	0.3920879988
45	0.3906418923
46	0.3896658484
47	0.388750705
48	0.3875970423
49	0.3866518019
50	0.3857579105
51	0.3850619985
52	0.3840316086
53	0.3827211001
54	0.3820085579
55	0.3812723357
56	0.3806477289
57	0.3799098591
58	0.3796465348
59	0.3787618542
60	0.3779958012
61	0.3764230852
62	0.3759359584
63	0.3750180809
64	0.3746982331
65	0.373889133
66	0.3731294854
67	0.3726979644
68	0.3721076767
69	0.3717901561
70	0.3712653889
71	0.3706123454
72	0.3699247188
73	0.3690394509
74	0.3681989327
75	0.3676317069
76	0.366875342
77	0.3667285527
78	0.3665583527
79	0.3659594763
80	0.3656493459
81	0.3652002163
82	0.3649118408
83	0.3645850072
84	0.3642523429
85	0.3637605417
86	0.3629802884
87	0.3624810342
88	0.3618703377
89	0.3614085281
90	0.3608007035
91	0.3604350287
92	0.3594433062
93	0.3590705336
94	0.3589170939
95	0.3587801169
96	0.3581581249
97	0.3578178369
98	0.3573915737
99	0.3572500386
