iter	Passed	Remaining
0	4	402
1	6	299
2	7	238
3	9	228
4	11	221
5	13	215
6	15	211
7	18	209
8	20	205
9	22	203
10	25	203
11	26	197
12	29	195
13	31	192
14	33	190
15	35	188
16	37	181
17	39	179
18	40	173
19	42	170
20	44	168
21	47	166
22	49	164
23	50	158
24	52	156
25	54	155
26	56	153
27	58	150
28	60	149
29	62	146
30	65	144
31	67	143
32	69	140
33	71	138
34	73	136
35	75	134
36	77	131
37	79	129
38	81	127
39	83	124
40	85	122
41	87	120
42	89	118
43	91	116
44	93	114
45	95	112
46	97	110
47	100	108
48	102	106
49	104	104
50	106	101
51	108	99
52	110	97
53	112	95
54	114	93
55	116	91
56	118	89
57	120	87
58	122	85
59	125	83
60	127	81
61	129	79
62	131	77
63	133	75
64	135	73
65	137	70
66	140	69
67	142	67
68	144	65
69	147	63
70	149	60
71	151	58
72	153	56
73	155	54
74	157	52
75	159	50
76	162	48
77	163	46
78	165	44
79	168	42
80	170	39
81	172	37
82	174	35
83	176	33
84	178	31
85	180	29
86	182	27
87	184	25
88	186	23
89	188	20
90	190	18
91	192	16
92	194	14
93	196	12
94	198	10
95	200	8
96	202	6
97	204	4
98	205	2
99	207	0
