"Title","Field1_Link","Year","Duration","Genre","Rating","Description","Director","Field5_Link","Field5"
"The Mountain II","https://www.imdb.com/title/tt5813916/?ref_=adv_li_tt","(2016)","135 min","Action, Drama, War","8.8","In a desolate war zone where screams of the innocent echo, seven Maroon Berets will dance with death on the very line between disaster and valor.","Alper Caglar","https://www.imdb.com/name/nm3809021/?ref_=adv_li_dr_0","Director:Alper Caglar                 |     Stars:Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe, Murat Serezli"
"Saving Private Ryan","https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt","(1998)","169 min","Drama, War","8.6","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Steven Spielberg","https://www.imdb.com/name/nm0000229/?ref_=adv_li_dr_0","Director:Steven Spielberg                 |     Stars:Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
"Life Is Beautiful","https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt","(1997)","116 min","Comedy, Drama, Romance","8.6","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Roberto Benigni","https://www.imdb.com/name/nm0000905/?ref_=adv_li_dr_0","Director:Roberto Benigni                 |     Stars:Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
"The Pianist","https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt","(2002)","150 min","Biography, Drama, Music","8.5","A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","Roman Polanski","https://www.imdb.com/name/nm0000591/?ref_=adv_li_dr_0","Director:Roman Polanski                 |     Stars:Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
"Grave of the Fireflies","https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt","(1988)","89 min","Animation, Drama, War","8.5","A young boy and his little sister struggle to survive in Japan during World War II.","Isao Takahata","https://www.imdb.com/name/nm0847223/?ref_=adv_li_dr_0","Director:Isao Takahata                 |     Stars:Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara"
"Casablanca","https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt","(1942)","102 min","Drama, Romance, War","8.5","A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","Michael Curtiz","https://www.imdb.com/name/nm0002031/?ref_=adv_li_dr_0","Director:Michael Curtiz                 |     Stars:Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains"
"Ayla: The Daughter of War","https://www.imdb.com/title/tt6316138/?ref_=adv_li_tt","(2017)","125 min","Biography, Drama, History","8.4","In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »","Can Ulkay","https://www.imdb.com/name/nm8631915/?ref_=adv_li_dr_0","Director:Can Ulkay                 |     Stars:Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol"
"Apocalypse Now","https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt","(1979)","147 min","Drama, Mystery, War","8.4","A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.","Francis Ford Coppola","https://www.imdb.com/name/nm0000338/?ref_=adv_li_dr_0","Director:Francis Ford Coppola                 |     Stars:Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
"Paths of Glory","https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt","(1957)","88 min","Drama, War","8.4","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Stanley Kubrick","https://www.imdb.com/name/nm0000040/?ref_=adv_li_dr_0","Director:Stanley Kubrick                 |     Stars:Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready"
"The Great Dictator","https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt","(1940)","125 min","Comedy, Drama, War","8.4","Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","Charles Chaplin","https://www.imdb.com/name/nm0000122/?ref_=adv_li_dr_0","Director:Charles Chaplin                 |     Stars:Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner"
"1917","https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt","(2019)","119 min","Drama, Thriller, War","8.3","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Sam Mendes","https://www.imdb.com/name/nm0005222/?ref_=adv_li_dr_0","Director:Sam Mendes                 |     Stars:Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
"Incendies","https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt","(2010)","131 min","Drama, Mystery, War","8.3","Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.","Denis Villeneuve","https://www.imdb.com/name/nm0898288/?ref_=adv_li_dr_0","Director:Denis Villeneuve                 |     Stars:Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel"
"Dara of Jasenovac","https://www.imdb.com/title/tt10554232/?ref_=adv_li_tt","(2020)","130 min","Drama, War","8.3","Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.","Predrag Antonijevic","https://www.imdb.com/name/nm0031342/?ref_=adv_li_dr_0","Director:Predrag Antonijevic                 |     Stars:Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic"
"Inglourious Basterds","https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt","(2009)","153 min","Adventure, Drama, War","8.3","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Quentin Tarantino","https://www.imdb.com/name/nm0000233/?ref_=adv_li_dr_0","Director:Quentin Tarantino                 |     Stars:Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent"
"Braveheart","https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt","(1995)","178 min","Biography, Drama, History","8.3","Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.","Mel Gibson","https://www.imdb.com/name/nm0000154/?ref_=adv_li_dr_0","Director:Mel Gibson                 |     Stars:Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
"Full Metal Jacket","https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt","(1987)","116 min","Drama, War","8.3","A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.","Stanley Kubrick","https://www.imdb.com/name/nm0000040/?ref_=adv_li_dr_0","Director:Stanley Kubrick                 |     Stars:Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin"
